# Constructed from biom file
#OTU ID	SRR15885257	SRR15885258	SRR15885259	SRR15885260	SRR15885261	SRR15885262	SRR15885263	SRR15885264	SRR15885265	SRR15885266	SRR15885267	SRR15885268	SRR15885269	SRR15885270	SRR15885271	SRR15885272	SRR15885273	SRR15885274	SRR15885275	SRR15885276	SRR15885277	SRR15885278	SRR15885279	SRR15885280	SRR15885281	SRR15885282	SRR15885283	SRR15885284	SRR15885285	SRR15885286	SRR15885287	SRR15885288	SRR15885289	SRR15885290	SRR15885291	SRR15885292	SRR15885293	SRR15885294	SRR15885295	SRR15885296	SRR15885297	SRR15885298	SRR15885299	SRR15885300	SRR15885301	SRR15885302	SRR15885303	SRR15885304	SRR15885305	SRR15885306	SRR15885307	SRR15885308	SRR15885309	SRR15885310	SRR15885311	SRR15885312	SRR15885313	SRR15885314	SRR15885315	SRR15885316	SRR15885317	SRR15885318	SRR15885319	SRR15885320	SRR15885321	SRR15885322	SRR15885323	SRR15885324	SRR15885325	SRR15885326	SRR15885327	SRR15885328	SRR15885329	SRR15885330	SRR15885331	SRR15885332	SRR15885333	SRR15885334	SRR15885335	SRR15885336	SRR15885337	SRR15885338	SRR15885339	SRR15885340	SRR15885341	SRR15885342	SRR15885343	SRR15885344	SRR15885345	SRR15885346	SRR15885347	SRR15885348	SRR15885349	SRR15885350	SRR15885351	SRR15885352	SRR15885353	SRR15885354	SRR15885355	SRR15885356	SRR15885357	SRR15885358	SRR15885359	SRR15885361	SRR15885362	SRR15885363	SRR15885364	SRR15885365	SRR15885366	SRR15885367	SRR15885368	SRR15885369	SRR15885370	SRR15885371	SRR15885372	SRR15885373	SRR15885374	SRR15885375	SRR15885376	SRR15885377	SRR15885378	SRR15885379	SRR15885380	SRR15885381	SRR15885382	SRR15885383	SRR15885384	SRR15885385	SRR15885386	SRR15885387	SRR15885388	SRR15885389	SRR15885390	SRR15885391	SRR15885392	SRR15885393	SRR15885394	SRR15885395	SRR15885396	SRR15885397	SRR15885398	SRR15885399	SRR15885400	SRR15885401	SRR15885402	SRR15885403	SRR15885404	SRR15885406	SRR15885407	SRR15885408	SRR15885409	SRR15885410	SRR15885411
d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008	0.0006	0.0	0.0	0.0	0.0	0.0	0.0	0.0014	0.0	0.0	0.0	0.0	0.0056	0.0	0.0	0.0016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016	0.0	0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0042	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	0.0	0.0	0.0	0.0002	0.0	0.0	0.0	0.0	0.0014	0.0	0.0	0.0004	0.0	0.0002	0.0	0.0	0.0	0.0002	0.0	0.0	0.0018	0.0084	0.0	0.0	0.0	0.1468	0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0048	0.0	0.0002	0.0056	0.0006	0.0	0.0	0.0	0.0	0.0006	0.0	0.0012	0.0	0.0	0.0038	0.0	0.0	0.0002	0.0004	0.0	0.0	0.0008	0.0	0.0	0.0	0.0006	0.004	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008	0.0	0.0	0.0038	0.0	0.0	0.0	0.0	0.0	0.0	0.0002	0.0048	0.0152	0.0004	0.0	0.0	0.0	0.0016	0.0	0.0	0.0006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006	0.0	0.0	0.0	0.0014	0.0	0.0	0.0044	0.0	0.0042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002	0.0068	0.0	0.0	0.0	0.0	0.0048
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae	0.0	0.0	0.0	0.0	0.0	0.0004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014	0.0	0.0	0.0	0.0	0.0	0.0	0.0006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	0.0	0.0008	0.0422	0.0018	0.0004	0.0028	0.0	0.0084	0.0002	0.0022	0.0048	0.0	0.0	0.0	0.0158	0.0	0.0	0.0124	0.0062	0.0	0.0056	0.0084	0.0024	0.0	0.0016	0.0022	0.0	0.003	0.0046	0.0	0.0002	0.0	0.0012	0.003	0.0	0.0002	0.0012	0.018	0.0004	0.0026	0.0	0.0	0.0022	0.0008	0.0088	0.0	0.0016	0.0158	0.0014	0.0004	0.0018	0.0	0.0	0.0	0.0	0.0086	0.0	0.0	0.0	0.0	0.004	0.002	0.0052	0.0	0.0174	0.0	0.1184	0.007	0.002	0.0034	0.0028	0.0032	0.0048	0.0	0.0	0.0	0.0	0.0	0.0004	0.0	0.0	0.0	0.0	0.0	0.0008	0.0	0.0022	0.0024	0.0	0.0	0.0	0.0	0.0	0.0026	0.0326	0.003	0.0	0.0018	0.0	0.0136	0.0006	0.0052	0.0	0.0146	0.0	0.0006	0.003	0.0	0.0	0.0	0.0	0.0036	0.0	0.0	0.0	0.0	0.0	0.0004	0.0	0.0	0.0	0.0	0.0	0.0012	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3054	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0032	0.0038	0.0114	0.0	0.0	0.0214	0.002	0.0038
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__nan	0.0	0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004	0.0	0.0	0.0	0.0002	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026	0.0	0.0	0.0006	0.0	0.0	0.0	0.0	0.0028	0.0	0.0002	0.0	0.0002	0.0	0.0004	0.0	0.0	0.0002	0.0	0.0004	0.0	0.0	0.0012	0.0014	0.0004	0.0014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002	0.0	0.0004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002	0.0024	0.0	0.0	0.0	0.0	0.0006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002	0.0004	0.0	0.0	0.0008	0.0	0.0018
d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004	0.0	0.0	0.0032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008	0.0	0.0	0.0024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0016	0.0006	0.0	0.0	0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0022	0.0	0.0018	0.0	0.0	0.0004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__nan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006	0.0	0.0	0.0004	0.0	0.0	0.0	0.0	0.0	0.0032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002	0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004	0.0	0.0	0.0006	0.0012	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae	0.0	0.0	0.0024	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0002	0.0	0.0	0.0	0.0006	0.0	0.0	0.0042	0.0	0.0	0.0	0.0	0.0	0.0	0.0004	0.0	0.0	0.0	0.0022	0.0	0.0026	0.0	0.0	0.0002	0.0	0.0	0.0004	0.0002	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006	0.0	0.0	0.0	0.0	0.0	0.0022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016	0.0	0.0	0.001	0.0012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006	0.0	0.0	0.0004	0.0	0.0068
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006	0.0	0.001	0.0	0.0	0.001	0.0	0.0066	0.0	0.0004	0.012	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018	0.0	0.0	0.0	0.0	0.0	0.001	0.0018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028	0.0	0.0	0.0004	0.0008	0.0008
d__Bacteria;p__Firmicutes;c__Bacilli;o__Thermicanales;f__Thermicanaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012	0.0	0.0	0.0014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__nan;f__nan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Caldicoprobacterales;f__Caldicoprobacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae	0.0224	0.0	0.0	0.0	0.0032	0.0008	0.0016	0.0	0.0018	0.0032	0.0	0.0254	0.0	0.0	0.0002	0.0	0.0	0.0	0.0044	0.0076	0.0076	0.0018	0.0014	0.0	0.0092	0.0	0.0	0.0	0.0	0.0	0.008	0.0166	0.0	0.0032	0.0374	0.001	0.0006	0.0006	0.0036	0.0	0.0194	0.0022	0.0108	0.0008	0.0028	0.0014	0.0012	0.0	0.0122	0.0006	0.0344	0.0004	0.0036	0.0	0.0232	0.0116	0.022	0.0224	0.0	0.0	0.0034	0.0036	0.0	0.0044	0.0	0.0074	0.0	0.0	0.0	0.0	0.0242	0.0018	0.0006	0.0	0.0	0.0	0.0	0.0142	0.007	0.0044	0.004	0.0	0.0064	0.0	0.0156	0.0014	0.0	0.0	0.0	0.0114	0.0	0.003	0.0022	0.0006	0.0008	0.0	0.0	0.0058	0.004	0.0	0.0192	0.0	0.004	0.0012	0.0024	0.0166	0.0	0.0	0.0002	0.0	0.0074	0.0	0.0032	0.0112	0.0036	0.0	0.0	0.0	0.0062	0.0054	0.003	0.0104	0.0	0.0	0.004	0.0032	0.0048	0.0	0.031	0.0074	0.0014	0.0	0.0002	0.0124	0.0	0.0038	0.0078	0.0	0.002	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0002	0.0026	0.0124	0.0254	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia UCG-014;f__nan	0.0478	0.0	0.0	0.0	0.0036	0.0	0.0058	0.0	0.0	0.0	0.0004	0.011	0.0	0.0	0.0066	0.0	0.0	0.0	0.0	0.0086	0.0224	0.0	0.0	0.0014	0.4492	0.0	0.0	0.0	0.0	0.0	0.0302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0174	0.0	0.0	0.0	0.0024	0.0	0.0018	0.0	0.0	0.0	0.0002	0.0	0.01	0.0	0.0	0.02	0.0082	0.011	0.0	0.0	0.0076	0.0012	0.0	0.051	0.0	0.0076	0.0	0.0058	0.0	0.0	0.0572	0.0	0.0	0.0	0.0	0.0	0.0	0.0318	0.0	0.0	0.0214	0.0	0.0	0.0	0.0202	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0002	0.0012	0.0114	0.0118	0.0	0.005	0.0	0.0002	0.0	0.0136	0.009	0.0	0.0	0.0	0.0228	0.0142	0.0	0.0056	0.0	0.0008	0.0	0.0012	0.0	0.0	0.0138	0.0008	0.007	0.0	0.0002	0.0406	0.0366	0.0	0.0	0.0	0.0044	0.0024	0.0	0.0018	0.0116	0.0066	0.0002	0.0064	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0254	0.0	0.0018	0.0	0.0312	0.0	0.0024	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia vadinBB60 group;f__nan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002	0.0	0.0	0.0018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0014	0.0002	0.0	0.0	0.0	0.0	0.0	0.0042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0022	0.0	0.0008	0.0	0.0	0.0	0.0	0.0	0.0	0.0002	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002	0.0	0.0	0.0	0.0042	0.0	0.0	0.0	0.0004	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012	0.0002	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	0.009	0.0172	0.0	0.0	0.0016	0.0018	0.0004	0.0	0.0034	0.0188	0.0	0.0026	0.0	0.0	0.0	0.0014	0.2	0.0046	0.0	0.0	0.0004	0.0012	0.0	0.0024	0.0	0.0062	0.0072	0.0038	0.0	0.0	0.0	0.0	0.0	0.0004	0.0	0.0002	0.0008	0.0028	0.0016	0.0	0.0032	0.0	0.0	0.0004	0.003	0.0052	0.0	0.006	0.0	0.0	0.0022	0.0032	0.0016	0.0016	0.0	0.0	0.0	0.0	0.0028	0.0	0.0	0.0	0.0024	0.0	0.0	0.0	0.005	0.0002	0.0032	0.0028	0.0	0.0	0.0	0.0014	0.0	0.0	0.0028	0.0	0.0	0.004	0.0004	0.001	0.0	0.0	0.0002	0.0006	0.0	0.0	0.0	0.0	0.0002	0.0	0.0	0.0018	0.005	0.0	0.008	0.0	0.0	0.0	0.003	0.0	0.0048	0.0	0.0	0.0	0.0102	0.0	0.0	0.0016	0.0	0.0204	0.0044	0.0004	0.0124	0.0	0.0	0.0014	0.0	0.0	0.0	0.0048	0.0	0.0186	0.0	0.0	0.0004	0.0	0.0	0.0	0.003	0.0	0.0014	0.0034	0.0008	0.0	0.0106	0.0642	0.0	0.0014	0.0	0.001	0.0	0.0	0.0024	0.0	0.001	0.0032	0.0	0.0	0.0008	0.0	0.004
